invert,sepia,saturate,hue-rotate,brightness,contrast
7,77,540,72,98,106
5,33,5861,123,98,106
7,94,1428,102,93,108
7,39,3104,86,101,108
6,96,2204,83,99,107
9,11,6236,84,97,105
7,77,1377,89,95,104
9,21,5370,85,94,106
8,28,4683,115,103,110
8,64,1949,87,89,105
5,55,5580,135,95,107
9,34,3805,97,92,104
3,80,7498,145,100,105
8,39,4647,94,97,104
9,62,1970,93,95,107
5,83,5080,124,97,106
12,51,1853,96,89,109
12,36,2469,87,92,110
8,66,3140,93,94,104
13,60,1021,82,91,109
9,91,1766,95,97,106
10,21,6224,102,98,106
11,93,967,87,94,105
8,36,5773,118,96,103
12,65,1205,84,96,105
8,54,5488,98,91,104
